id,symbol,address,fee,tokens,exchange
P0001,uniweth_uniswap,0xd3d2E2692501A5c9Ca623199D38826e513033a17,0.003,"T0001, T0002",uniswap
P0002,uniweth_sushiswap,0xDafd66636E2561b0284EDdE37e42d192F2844D40,0.003,"T0001, T0002",sushiswap
P0003,usdcweth_uniswap,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,0.003,"T0003, T0002",uniswap
P0004,usdcweth_sushiswap,0x397FF1542f962076d0BFE58eA045FfA2d347ACa0,0.003,"T0003, T0002",sushiswap
P0005,wbtcweth_uniswap,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,0.003,"T0004, T0002",uniswap
P0006,wbtcweth_sushiswap,0xCEfF51756c56CeFFCA006cD410B03FFC46dd3a58,0.003,"T0004, T0002",sushiswap
P0007,linkweth_uniswap,0xa2107FA5B38d9bbd2C461D6EDf11B11A50F6b974,0.003,"T0005, T0002",uniswap
P0008,linkweth_sushiswap,0xC40D16476380e4037e6b1A2594cAF6a6cc8Da967,0.003,"T0005, T0002",sushiswap
P0009,daiweth_uniswap,0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11,0.003,"T0006, T0002",uniswap
P0010,daiweth_sushiswap,0xC3D03e4F041Fd4cD388c549Ee2A29a9E5075882f,0.003,"T0006, T0002",sushiswap
P0011,sushiweth_uniswap,0xCE84867c3c02B05dc570d0135103d3fB9CC19433,0.003,"T0007, T0002",uniswap
P0012,sushiweth_sushiswap,0x795065dCc9f64b5614C407a6EFDC400DA6221FB0,0.003,"T0007, T0002",sushiswap
P0013,yfiweth_uniswap,0x2fDbAdf3C4D5A8666Bc06645B8358ab803996E28,0.003,"T0008, T0002",uniswap
P0014,yfiweth_sushiswap,0x088ee5007C98a9677165D78dD2109AE4a3D04d0C,0.003,"T0008, T0002",sushiswap
P0015,kp3rweth_uniswap,0x87fEbfb3AC5791034fD5EF1a615e9d9627C2665D,0.003,"T0009, T0002",uniswap
P0016,kp3rweth_sushiswap,0xaf988afF99d3d0cb870812C325C588D8D8CB7De8,0.003,"T0009, T0002",sushiswap
P0017,snxweth_uniswap,0x43AE24960e5534731Fc831386c07755A2dc33D47,0.003,"T0010, T0002",uniswap
P0018,snxweth_sushiswap,0xA1d7b2d891e3A1f9ef4bBC5be20630C2FEB1c470,0.003,"T0010, T0002",sushiswap
P0019,bandweth_uniswap,0xf421c3f2e695C2D4C0765379cCace8adE4a480D9,0.003,"T0011, T0002",uniswap
P0020,bandweth_sushiswap,0xA75F7c2F025f470355515482BdE9EFA8153536A8,0.003,"T0011, T0002",sushiswap
P0021,wethampl_uniswap,0xc5be99A02C6857f9Eac67BbCE58DF5572498F40c,0.003,"T0002, T0012",uniswap
P0022,wethampl_sushiswap,0xCb2286d9471cc185281c4f763d34A962ED212962,0.003,"T0002, T0012",sushiswap
P0023,wethinj_uniswap,0x3C70f4FAeA49E50AdC8305F2E1Aa0EA326A54fFc,0.003,"T0002, T0013",uniswap
P0024,wethinj_sushiswap,0xFb3cD0B8A5371fe93ef92E3988D30Df7931E2820,0.003,"T0002, T0013",sushiswap
